cycle_number,capacity_ah,soh
160,4.5837938683625685,89.82279953074077
161,4.5815839309431485,89.77949418772128
162,4.579416894312393,89.73702951709035
163,4.577211183708633,89.69380700162084
164,4.575026991293919,89.65100615083269
165,4.572852461675586,89.60839464961983
166,4.570851107144322,89.56917664112856
167,4.568486374294535,89.52283796822789
168,4.566300804848099,89.48001013349416
169,4.564124429892251,89.43736247154057
170,4.561932901347036,89.39441786389985
171,4.559752934921966,89.35169982447529
172,4.557559107681734,89.3087101722214
173,4.555381354639356,89.26603550565247
174,4.553190683102744,89.2231076917233
175,4.55112993747093,89.18272587109914
176,4.548829373897778,89.13764464219285
177,4.54664121082465,89.09476598344366
178,4.544460288643956,89.05202921528732
179,4.542287748907441,89.00945670726674
180,4.54008861668691,88.96636310003679
181,4.53789612307117,88.92339958113199
182,4.535751216754189,88.881368570215
183,4.533524342302858,88.83773133364495
184,4.531342329130634,88.79497318671021
185,4.5291596204532905,88.752201410843
186,4.526970265819139,88.70929940258246
187,4.524799268299768,88.66675711543685
188,4.522639886530648,88.62444244742859
189,4.520464837316857,88.58182076436204
190,4.518308148732369,88.53955887128001
191,4.516163574643319,88.49753437061277
192,4.51402236992035,88.4555758951427
193,4.511870770627236,88.41341373045424
194,4.509748108075893,88.37181860242357
195,4.507811541121105,88.33387015396511
196,4.505518385138131,88.2889340822161
197,4.503415158755535,88.2477198201535
198,4.501312364161995,88.20651401931383
199,4.499229794522448,88.16570454126706
200,4.497162869472176,88.1252016304104
201,4.495096718774602,88.08471389356221
202,4.493037291939622,88.04435791572837
203,4.491001103350607,88.00445730835152
204,4.488949224847132,87.96424924560439
205,4.486938355570372,87.92484478870338
206,4.484923906039874,87.88537017410704
207,4.482913772963553,87.84598014359308
208,4.4809028299336875,87.80657424144594
209,4.47890852976612,87.76749446838026
210,4.476922059103836,87.72856812020748
211,4.474947202967904,87.6898693671889
212,4.472981703482584,87.65135396459496
213,4.471017513854102,87.61286422960552
214,4.469058597569766,87.57447782965855
215,4.467102999262179,87.53615644789716
216,4.4651558102002396,87.49799985146593
217,4.463215504203442,87.45997813373958
218,4.461392261481019,87.4242503566503
219,4.459305044726015,87.38334981497108
220,4.457359392647754,87.34522333686122
221,4.455405239748657,87.3069302789383
222,4.453452129457309,87.26865765167815
223,4.451505015888445,87.23050253458906
224,4.449552095888018,87.19223363621894
225,4.447589489791802,87.15377493170455
226,4.4456261507806865,87.11530186518567
227,4.443647836748621,87.07653535215864
228,4.4416663423009135,87.03770651655674
229,4.4396769330522545,86.99872258463077
230,4.437935619165426,86.96460026310663
231,4.435649474363071,86.91980158057915
232,4.433611775450249,86.87987137730066
233,4.4315147156722805,86.83877795437417
234,4.429285022000389,86.79508547311153
235,4.428118235809867,86.77222144276979
236,4.426907117504141,86.74848869214719
237,4.425726721520574,86.72535796793845
238,4.424544213800467,86.70218586270487
239,4.423417162087349,86.68010045856248
240,4.422246062685745,86.65715190768918
241,4.421130371753961,86.63528912638141
242,4.419990729840959,86.61295700804709
243,4.41889177932011,86.59142226735779
244,4.417771928761087,86.5694779751064
245,4.416670992550993,86.54790432338136
246,4.415583098878359,86.52658624973449
247,4.414497857240307,86.50532014464851
248,4.413429131397053,86.48437767866317
249,4.412361577865261,86.46345818497994
250,4.4113040770941865,86.4427356825089
251,4.41023979175265,86.42188023140842
252,4.409191507078932,86.40133832511798
253,4.408148668215044,86.3809031334615
254,4.407105425108613,86.36046002037617
255,4.406084250603794,86.34044935770973
256,4.405046015029489,86.32010437088559
257,4.4040193582376395,86.29998627878776
258,4.403000255370694,86.2800162113834
259,4.4019896025336,86.26021172850558
260,4.400976723143988,86.2403636146997
261,4.399966578150544,86.22056908339032
262,4.39896995109286,86.20103944593711
263,4.398028902623976,86.18259891165553
264,4.396975103251475,86.16194894080168
265,4.395985097970814,86.14254906192123
266,4.3950009048709076,86.12326307698142
267,4.394031027595001,86.1042576211025
268,4.393038961685155,86.0848173626833
269,4.392072434083783,86.06587754613129
270,4.391087705631417,86.04658107056777
271,4.390123283098363,86.02768250437191
272,4.389158822675274,86.00878319569304
273,4.388188275097501,85.9897646047579
274,4.38724125020089,85.9712069579959
275,4.38627025680019,85.95217963083385
276,4.385326214520312,85.93368043063218
277,4.38436575604853,85.91485954312154
278,4.383428524150621,85.8964937973447
279,4.382474454292555,85.87779809940095
280,4.3815261777742105,85.85921592619398
281,4.3805865530000085,85.84080329025286
282,4.379641934519173,85.82229279897122
283,4.37871039841501,85.80403866644635
284,4.377775382189445,85.78571633839259
285,4.376838996310045,85.76736717096836
286,4.375910306120695,85.74916880622952
287,4.374988027877246,85.73109608826883
288,4.374055414411492,85.71282084405412
289,4.3731324933302735,85.69473552921632
290,4.372224172900764,85.67693632484706
291,4.371287736029273,85.65858615819543
292,4.370369607286549,85.64059475274192
293,4.369458383100469,85.622738647135
294,4.368547979532352,85.60489862213835
295,4.367635978115488,85.58702728612472
296,4.366715685644089,85.56899348082239
297,4.36582520671631,85.55154389375252
298,4.36489698530716,85.53335471510519
299,4.363989368387777,85.51556929653236
300,4.363089765058473,85.4979409101289
301,4.362181754129018,85.48014777064
302,4.3612845322773826,85.46256605103643
303,4.360383427742439,85.4449082474085
304,4.359484168960833,85.42728661266965
305,4.358586055894728,85.40968742906556
306,4.357690457052865,85.39213751352771
307,4.356827511831667,85.37522746961307
308,4.355914612464434,85.35733853760401
309,4.355123159249826,85.34182943194277
310,4.354145442014173,85.32267034630807
311,4.353239089339429,85.30490970153528
312,4.352361101067998,85.28770487802883
313,4.35146272262139,85.27010049409934
314,4.350579638732177,85.25279581822875
315,4.34970507962441,85.23565819169696
316,4.348813290181352,85.21818292411993
317,4.347943022863421,85.20112939835471
318,4.3470575031436836,85.1837769906002
319,4.346173796546261,85.16646011230597
320,4.345316778520107,85.14966621612122
321,4.344427902773827,85.13224804456755
322,4.343548829373859,85.1150219571723
323,4.342676238584936,85.09792290129052
324,4.341800790681895,85.08076785816408
325,4.340929935185844,85.0637028066176
326,4.340063087602561,85.04671629305854
327,4.339208163460443,85.02996342806574
328,4.3383193178951345,85.01254584793031
329,4.3374568663564785,84.99564547808681
330,4.336598954131775,84.9788340594263
