simulation_index,param_file,cycle_detail_csv,life_detail_csv,80soh_cycle,Initial SEI thickness [m]__multiplier,SEI solvent diffusivity [m2.s-1]__multiplier,Lithium plating kinetic rate constant [m.s-1]__multiplier,Dead lithium decay constant [s-1]__multiplier,Negative electrode critical stress [Pa]__multiplier,Negative electrode LAM constant proportional term [s-1]__multiplier,Initial SEI thickness [m]__value,SEI solvent diffusivity [m2.s-1]__value,Lithium plating kinetic rate constant [m.s-1]__value,Dead lithium decay constant [s-1]__value,Negative electrode critical stress [Pa]__value,Negative electrode LAM constant proportional term [s-1]__value
30,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000030.csv,life_soh_csv/sim_000030.csv,605,1.0023499956527173,14.286550575429326,26.90320022659477,26.637523080950025,1.1209559093087593,1.6422906792967704,5.011749978263586e-09,3.571637643857331e-21,2.690320022659477e-08,2.6637523080950024e-05,67257354.55852556,6.5691627171870815e-06
31,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000031.csv,life_soh_csv/sim_000031.csv,445,1.6169838237610106,16.62755274029142,14.051973569306668,47.154474391884236,1.1622130553944998,2.127744074296685,8.084919118805053e-09,4.156888185072855e-21,1.4051973569306668e-08,4.715447439188423e-05,69732783.32366998,8.51097629718674e-06
32,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000032.csv,life_soh_csv/sim_000032.csv,270,1.3967840512079983,9.561037061145797,31.11584449027343,39.84137667003562,0.9406810726658805,2.5276777420534424,6.983920256039992e-09,2.390259265286449e-21,3.111584449027343e-08,3.984137667003562e-05,56440864.35995283,1.0110710968213769e-05
33,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000033.csv,life_soh_csv/sim_000033.csv,460,1.7908232865636093,5.145696087424241,43.1946331485961,14.940805414599845,1.0271720611129975,1.9628110470034046,8.954116432818048e-09,1.2864240218560602e-21,4.31946331485961e-08,1.4940805414599844e-05,61630323.66677985,7.851244188013619e-06
34,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000034.csv,life_soh_csv/sim_000034.csv,486,1.0883544700185401,11.603879440988333,36.67388929629267,25.043032539503034,1.0861863274241486,2.1115888512871344,5.441772350092701e-09,2.900969860247083e-21,3.6673889296292677e-08,2.5043032539503034e-05,65171179.645448916,8.446355405148537e-06
35,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000035.csv,life_soh_csv/sim_000035.csv,553,1.6827321293598587,22.40083192049986,42.38780817483798,30.077695186986542,0.9308971029070079,1.3052252526985293,8.413660646799294e-09,5.600207980124965e-21,4.2387808174837984e-08,3.007769518698654e-05,55853826.174420476,5.220901010794117e-06
36,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000036.csv,life_soh_csv/sim_000036.csv,670,1.3558234737388373,18.373556916283746,31.951242440428995,11.007360498776345,1.1807504143717003,1.919054962831865,6.779117368694187e-09,4.593389229070936e-21,3.1951242440429e-08,1.1007360498776345e-05,70845024.86230202,7.67621985132746e-06
37,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000037.csv,life_soh_csv/sim_000037.csv,475,1.387377958889819,11.101949709416633,44.5008035570035,5.4011357145843055,1.016768567487605,2.3575997951842136,6.936889794449095e-09,2.7754874273541582e-21,4.45008035570035e-08,5.401135714584305e-06,61006114.0492563,9.430399180736854e-06
39,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000039.csv,life_soh_csv/sim_000039.csv,428,1.624872693880926,27.40986897513754,11.578285106544527,42.48212061788073,0.966009068430834,1.7146040877096902,8.12436346940463e-09,6.852467243784385e-21,1.1578285106544528e-08,4.248212061788073e-05,57960544.10585004,6.8584163508387605e-06
40,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000040.csv,life_soh_csv/sim_000040.csv,213,1.8545952527418899,24.651773320509903,24.631659293474762,46.68729348303727,0.8738147075406038,2.764883094238411,9.27297626370945e-09,6.162943330127475e-21,2.4631659293474763e-08,4.668729348303727e-05,52428882.45243622,1.1059532376953643e-05
41,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000041.csv,life_soh_csv/sim_000041.csv,262,1.1514134775446005,5.315239455359734,20.23467360846797,16.364690268139995,0.8090611119638317,2.7251084450952154,5.7570673877230026e-09,1.3288098638399333e-21,2.023467360846797e-08,1.6364690268139994e-05,48543666.7178299,1.0900433780380862e-05
42,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000042.csv,life_soh_csv/sim_000042.csv,510,1.5338390198539227,16.670407614652596,24.797618705793347,5.5640421475879815,0.8496785518786016,1.5358266348378988,7.669195099269613e-09,4.1676019036631486e-21,2.479761870579335e-08,5.564042147587982e-06,50980713.1127161,6.143306539351595e-06
43,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000043.csv,life_soh_csv/sim_000043.csv,440,1.7825188951496367,21.733898808647453,13.960190512476084,18.364896341443526,1.0025701556633753,1.9761793016996156,8.912594475748184e-09,5.433474702161863e-21,1.3960190512476084e-08,1.8364896341443525e-05,60154209.33980252,7.904717206798461e-06
44,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000044.csv,life_soh_csv/sim_000044.csv,410,1.7415285068777546,19.56094676448147,43.79530686950959,44.83761893270595,1.1606310892930523,2.460395423326864,8.707642534388773e-09,4.890236691120368e-21,4.379530686950959e-08,4.483761893270595e-05,69637865.35758314,9.841581693307456e-06
46,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000046.csv,life_soh_csv/sim_000046.csv,375,1.4022745907980632,27.287360476423746,18.10189340577073,14.20627314695605,0.8885476998474737,2.1504811137153683,7.011372953990316e-09,6.821840119105937e-21,1.810189340577073e-08,1.420627314695605e-05,53312861.99084842,8.601924454861472e-06
